,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
ACX5,Accor Nov5 (ACX5),Stock Prices for Accor Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,19/11/2014,19/11/2014,,TRUE
ACXE,Acerinox (ACXE),Stock Prices for Acerinox from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,18/04/2011,18/04/2011,,TRUE
AD,Ahold Del (AD),"Stock Prices for Ahold Del from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",10/01/2019 17:15,25/07/2016,10/01/2019,,TRUE
ADENZ,Adecco (ADENZ),Stock Prices for Adecco from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:36,17/02/2014,02/05/2014,,TRUE
ADI,Audika Groupe (ADI),Stock Prices for Audika Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,24/12/2015 15:58,14/02/2014,23/12/2015,,TRUE
ADML,Admiral Group (ADML),Stock Prices for Admiral Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,23/01/2014,28/04/2014,,TRUE
ADNL,Aberdeen Asset Mgt (ADNL),Stock Prices for Aberdeen Asset Mgt from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,30/08/2013,30/08/2013,,TRUE
ADOBS,Adomos Bsa2014 (ADOBS),Stock Prices for Adomos Bsa2014 from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,11/10/2014 17:05,10/04/2014,10/10/2014,,TRUE
ADOC,Adocia (ADOC),Stock Prices for Adocia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ADP,Adp (ADP),Stock Prices for Adp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ADPM5,Adp Jun5 (ADPM5),Stock Prices for Adp Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 15:59,05/06/2014,05/06/2014,,TRUE
ADPX5,Adp Nov5 (ADPX5),Stock Prices for Adp Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,07/11/2014,07/11/2014,,TRUE
ADSD,Adidas (ADSD),Stock Prices for Adidas from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,20/08/2013,20/08/2013,,TRUE
ADUDS,Adux Ds (ADUDS),Stock Prices for Adux Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,13/11/2018 17:15,02/11/2018,13/11/2018,,FALSE
ADUX,Adux (ADUX),Stock Prices for Adux from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,24/03/2017,10/01/2019,,FALSE
ADV,Advenis (ADV),Stock Prices for Advenis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,31/07/2015,10/01/2019,,TRUE
ADVDS,Advenis Ds (ADVDS),Stock Prices for Advenis Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,14/02/2018 17:15,02/02/2018,14/02/2018,,FALSE
ADVI,Advini (ADVI),Stock Prices for Advini from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ADVIC,Advicenne (ADVIC),Stock Prices for Advicenne from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,06/12/2017,10/01/2019,,FALSE
ADYEN,Adyen (ADYEN),Stock Prices for Adyen from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,13/06/2018,10/01/2019,,FALSE
AED,Aedifica (AED),Stock Prices for Aedifica from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AED16,Aedifica(sub)c16 (AED16),Stock Prices for Aedifica(sub)c16 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,23/03/2017 15:58,16/03/2017,22/03/2017,,FALSE
AF,Air France -klm (AF),"Stock Prices for Air France -klm from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris, Amsterdam",10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AFO,Afone Particip (AFO),Stock Prices for Afone Particip from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AFRL,Afren (AFRL),Stock Prices for Afren from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,23/08/2013,23/08/2013,,TRUE
