,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
HEID,Heidelbergcement (HEID),Stock Prices for Heidelbergcement from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,20/08/2013,20/08/2013,,TRUE
HEIJM,Heijmans (HEIJM),Stock Prices for Heijmans from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HEIO,Heineken Holding (HEIO),Stock Prices for Heineken Holding from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HELNZ,Helvetia Holding (HELNZ),Stock Prices for Helvetia Holding from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:30,06/12/2012,06/12/2012,,TRUE
HEN3D,Henkel (HEN3D),Stock Prices for Henkel from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,14/08/2013,14/08/2013,,TRUE
HEND,Henkel (HEND),Stock Prices for Henkel from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,12/02/2013,12/02/2013,,TRUE
HENX,Henex (HENX), <p>Stock Prices for Henex from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels</p> ,14/02/2014 21:58,14/02/2014,14/02/2014,,TRUE
HEONR,H2o Innovation Nr (HEONR),Stock Prices for H2o Innovation Nr from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,01/12/2016 15:58,26/11/2014,15/05/2015,,TRUE
HERIG,Herige (HERIG),Stock Prices for Herige from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,24/07/2018 17:15,30/06/2015,24/07/2018,,TRUE
HERM,Hera (HERM),Stock Prices for Hera from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,16/08/2012,16/08/2012,,TRUE
HERNR,Heracles Nr (HERNR),Stock Prices for Heracles Nr from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,23/03/2015 15:59,30/01/2014,15/12/2014,,TRUE
HES,Hes Beheer (HES),Stock Prices for Hes Beheer from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,20/10/2014 17:06,14/02/2014,20/10/2014,,TRUE
HEXABS,Hexagon B (HEXABS),Stock Prices for Hexagon B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:33,05/03/2013,05/03/2013,,TRUE
HF,Hf (HF),Stock Prices for Hf from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HFBS,Hf Bsaar 02aug2014 (HFBS),Stock Prices for Hf Bsaar 02aug2014 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,02/08/2014 17:08,19/12/2013,01/08/2014,,TRUE
HFDL,Halfords Group (HFDL),Stock Prices for Halfords Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,25/07/2013,25/07/2013,,TRUE
HFS,Headfirst Source G (HFS),Stock Prices for Headfirst Source G from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,31/03/2017,10/01/2019,,FALSE
HGGL,Henderson Group (HGGL),Stock Prices for Henderson Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,21/08/2013,21/08/2013,,TRUE
HHFAD,Hamburger Hafen (HHFAD),Stock Prices for Hamburger Hafen from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,24/06/2013,24/06/2013,,TRUE
HIBUL,Hibu Plc (HIBUL),Stock Prices for Hibu Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,20/05/2013,20/05/2013,,TRUE
HICLL,Hicl Infrastructur (HICLL),Stock Prices for Hicl Infrastructur from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,09/08/2013,09/08/2013,,TRUE
HIKL,Hikma Pharmaceutic (HIKL),Stock Prices for Hikma Pharmaceutic from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,28/08/2013,28/08/2013,,TRUE
HIM,Hi-media (HIM),Stock Prices for Hi-media from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,01/08/2017 16:23,14/02/2014,31/07/2017,,TRUE
HIMT,Hi-media (HIMT),Stock Prices for Hi-media from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/07/2015 16:01,22/07/2015,23/07/2015,,TRUE
HIPAY,Hipay Group (HIPAY),Stock Prices for Hipay Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,29/06/2015,10/01/2019,,TRUE
HIPT,Hipay Group (HIPT),Stock Prices for Hipay Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/07/2015 16:01,22/07/2015,23/07/2015,,TRUE
HLCLL,Helical Bar (HLCLL),Stock Prices for Helical Bar from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:37,23/08/2013,23/08/2013,,TRUE
HLL,Hargreaves Lansdow (HLL),Stock Prices for Hargreaves Lansdow from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,28/08/2013,28/08/2013,,TRUE
HLMAL,Halma (HLMAL),Stock Prices for Halma from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,27/08/2013,27/08/2013,,TRUE
HMBS,Hennes & Mauritz B (HMBS),Stock Prices for Hennes & Mauritz B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:35,20/02/2013,20/02/2013,,TRUE
HMSOL,Hammerson Reit (HMSOL),Stock Prices for Hammerson Reit from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,22/08/2013,22/08/2013,,TRUE
HMY,Harmony Cert (HMY),Stock Prices for Harmony Cert from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels,31/05/2014 16:59,14/02/2014,30/05/2014,,TRUE
HNR1D,Hannover Rueck Se (HNR1D),Stock Prices for Hannover Rueck Se from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:37,14/02/2013,14/02/2013,,TRUE
HO,Thales (HO),Stock Prices for Thales from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HOCL,Hochschild Mining (HOCL),Stock Prices for Hochschild Mining from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,29/08/2013,29/08/2013,,TRUE
HOILL,Heritage Oil Plc (HOILL),Stock Prices for Heritage Oil Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,22/08/2013,22/08/2013,,TRUE
HOLCO,Holland Colours (HOLCO),Stock Prices for Holland Colours from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HOLMBS,Holmen B (HOLMBS),Stock Prices for Holmen B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:37,11/01/2013,11/01/2013,,TRUE
HOLNZ,Holcim N (HOLNZ),Stock Prices for Holcim N from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:35,28/02/2013,28/02/2013,,TRUE
HOMEL,Home Retail Group (HOMEL),Stock Prices for Home Retail Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,27/08/2013,27/08/2013,,TRUE
HOMI,Home Invest Be (HOMI),Stock Prices for Home Invest Be from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HONV,Thales Nv19 (HONV),Stock Prices for Thales Nv19 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HOP,Hopscotch Groupe (HOP),Stock Prices for Hopscotch Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,07/07/2015,10/01/2019,,TRUE
HOR,Horizon Cert (HOR),Stock Prices for Horizon Cert from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,24/06/2014 17:18,13/02/2014,21/05/2014,,TRUE
HOTD,Hochtief (HOTD),Stock Prices for Hochtief from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,27/06/2013,27/06/2013,,TRUE
HPCDS,Heurtey Petro Ds (HPCDS),Stock Prices for Heurtey Petro Ds from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Alternext Paris,22/05/2014 16:59,07/05/2014,21/05/2014,,TRUE
HPCNV,Heurtey Petroch Nv (HPCNV),Stock Prices for Heurtey Petroch Nv from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Alternext Paris,07/06/2014 17:01,03/06/2014,06/06/2014,,TRUE
HQL,Hq Life (HQL),Stock Prices for Hq Life from the Euronext Stock Exchange. Currency: EUR. Market: Easynext Lisbon,13/05/2016 15:58,18/02/2014,12/02/2016,,TRUE
HRIL,Herald Investment (HRIL),Stock Prices for Herald Investment from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,09/04/2013,09/04/2013,,TRUE
HSB,Hsbc Holdings (HSB),Stock Prices for Hsbc Holdings from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HSBAL,Hsbc Holdings (HSBAL),Stock Prices for Hsbc Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,14/02/2014,28/04/2014,,TRUE
HSTNL,Hansteen Holdings (HSTNL),Stock Prices for Hansteen Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,30/08/2013,30/08/2013,,TRUE
HSVL,Homeserve (HSVL),Stock Prices for Homeserve from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,23/08/2013,23/08/2013,,TRUE
HTGL,Hunting (HTGL),Stock Prices for Hunting from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,30/08/2013,30/08/2013,,TRUE
HUBWT,Hubwoo (HUBWT),Stock Prices for Hubwoo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,09/09/2015 15:58,04/09/2015,09/09/2015,,TRUE
HUNDP,Hunter Douglas (HUNDP),Stock Prices for Hunter Douglas from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,21/01/2014,31/12/2018,,TRUE
HUSQBS,Husqvarna B (HUSQBS),Stock Prices for Husqvarna B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:36,14/02/2013,14/02/2013,,TRUE
HVGPE,Harbourvest Hvgpe (HVGPE),Stock Prices for Harbourvest Hvgpe from the Euronext Stock Exchange. Currency: USD. Market: Euronext Amsterdam,09/10/2014 17:05,15/07/2014,15/07/2014,,TRUE
HVPE,Harbourvest Hvgpe (HVPE),Stock Prices for Harbourvest Hvgpe from the Euronext Stock Exchange. Currency: USD. Market: Euronext Amsterdam,24/10/2016 15:58,29/10/2013,30/11/2015,,TRUE
HWDNL,Howden Joinery Gro (HWDNL),Stock Prices for Howden Joinery Gro from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,23/08/2013,23/08/2013,,TRUE
HXL,Hexcel (HXL),Stock Prices for Hexcel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,06/01/2014,20/11/2018,,TRUE
HYDRA,Hydratec (HYDRA),Stock Prices for Hydratec from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
HYGDS,Hybrigenics Ds (HYGDS),Stock Prices for Hybrigenics Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,11/07/2017 15:58,04/07/2017,11/07/2017,,FALSE
HZV1,Hanzevast Cs 1 (HZV1),Stock Prices for Hanzevast Cs 1 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,18/09/2014 17:04,11/02/2014,14/07/2014,,TRUE
IAGL,Intl Airlines Grp (IAGL),Stock Prices for Intl Airlines Grp from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,29/08/2013,29/08/2013,,TRUE
IAM,Maroc Telecom (IAM),Stock Prices for Maroc Telecom from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IAPL,Icap (IAPL),Stock Prices for Icap from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,13/08/2013,13/08/2013,,TRUE
IBAB,Iba (IBAB),Stock Prices for Iba from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IBEE,Iberdrola (IBEE),Stock Prices for Iberdrola from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,05/09/2013,05/09/2013,,TRUE
IBMA,Ibm (IBMA),Stock Prices for Ibm from the Euronext Stock Exchange. Currency: USD. Market: Traded not listed Brussels,10/01/2019 17:15,22/01/2014,11/10/2018,,TRUE
IBMC,Ibm Cert (IBMC),Stock Prices for Ibm Cert from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels,31/05/2014 17:00,14/02/2014,30/05/2014,,TRUE
IBS,Ibersol Sgps (IBS),Stock Prices for Ibersol Sgps from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,17/02/2014,10/01/2019,,TRUE
ICAD,Icade (ICAD),Stock Prices for Icade from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ICANV,Icade Nv (ICANV),Stock Prices for Icade Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,04/05/2015 16:09,03/03/2014,30/03/2015,,TRUE
ICE,Ice Concept (ICE),Stock Prices for Ice Concept from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Expert Market,10/01/2019 17:15,29/01/2014,19/09/2018,,TRUE
ICPL,Icg (ICPL),Stock Prices for Icg from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,22/08/2013,22/08/2013,,TRUE
ICT,Ict Group (ICT),Stock Prices for Ict Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IDIP,Idi (IDIP),Stock Prices for Idi from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IDL,Id Logistics Group (IDL),Stock Prices for Id Logistics Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IDRE,Indra Sistemas (IDRE),Stock Prices for Indra Sistemas from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,29/07/2009,29/07/2009,,TRUE
IEAV,Immoeast (IEAV),Stock Prices for Immoeast from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,28/04/2010,28/04/2010,,TRUE
IEC,Iec Profes Media (IEC),Stock Prices for Iec Profes Media from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Paris,07/04/2014 17:18,14/02/2014,04/04/2014,,TRUE
IEML,Impax Envrmt Markt (IEML),Stock Prices for Impax Envrmt Markt from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,22/01/2013,22/01/2013,,TRUE
IEP,Iep Invest (IEP),Stock Prices for Iep Invest from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,09/06/2014,10/01/2019,,TRUE
IEX,Iex Group Nv (IEX),Stock Prices for Iex Group Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,04/01/2016,27/12/2018,,TRUE
IFF,Iff (IFF),Stock Prices for Iff from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,04/01/2006,29/10/2015,,TRUE
IFXD,Infineon Techno N (IFXD),Stock Prices for Infineon Techno N from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,23/08/2013,23/08/2013,,TRUE
IGE,Ige + Xao (IGE),Stock Prices for Ige + Xao from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IGGL,Ig Group Holdings (IGGL),Stock Prices for Ig Group Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,14/08/2013,14/08/2013,,TRUE
IIAV,Immofinanz (IIAV),Stock Prices for Immofinanz from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,13/02/2013,13/02/2013,,TRUE
IIIL,3i Group (IIIL),Stock Prices for 3i Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,21/08/2013,21/08/2013,,TRUE
ILD,Iliad (ILD),Stock Prices for Iliad from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ILDG5,Iliad Feb5 (ILDG5),Stock Prices for Iliad Feb5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/01/2015 17:07,24/01/2014,24/01/2014,,TRUE
ILDM5,Iliad Jun5 (ILDM5),Stock Prices for Iliad Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 16:00,02/06/2014,02/06/2014,,TRUE
IM,Royal Imtech (IM),Stock Prices for Royal Imtech from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,30/12/2016 15:58,14/02/2014,29/12/2016,,TRUE
IMCD,Imcd (IMCD),Stock Prices for Imcd from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,27/06/2014,10/01/2019,,TRUE
IMDA,Immob Dassault (IMDA),Stock Prices for Immob Dassault from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IMGL,Ima Tech Gpr (IMGL),Stock Prices for Ima Tech Gpr from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,19/08/2013,19/08/2013,,TRUE
IMHO,Immob Hoteliere (IMHO),Stock Prices for Immob Hoteliere from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,01/10/2007,01/10/2007,,TRUE
IMIL,Imi Plc (IMIL),Stock Prices for Imi Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,06/02/2014,06/02/2014,,TRUE
IML,Affine R E (IML),Stock Prices for Affine R E from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,18/12/2018 17:15,14/02/2014,18/12/2018,,TRUE
IMMO,Immobel (IMMO),Stock Prices for Immobel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IMMOP,Immopool (IMMOP),Stock Prices for Immopool from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Expert Market,10/01/2019 17:15,27/04/2015,22/12/2017,,TRUE
IMMOU,Immo Moury (IMMOU),Stock Prices for Immo Moury from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IMMP,Siic De Paris Nom (IMMP),Stock Prices for Siic De Paris Nom from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/10/2014 17:06,14/02/2014,02/10/2014,,TRUE
IMPDS,Implanet Ds (IMPDS),Stock Prices for Implanet Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/11/2016 15:58,23/02/2015,04/11/2016,,TRUE
IMPL,Implanet (IMPL),Stock Prices for Implanet from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/07/2017 15:58,14/02/2014,10/07/2017,,TRUE
IMRI,Royal Imtech Right (IMRI),Stock Prices for Royal Imtech Right from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,20/10/2014 17:06,09/10/2014,20/10/2014,,TRUE
IMSM,Immsi (IMSM),Stock Prices for Immsi from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,20/07/2012,20/07/2012,,TRUE
IMTL,Imperial Tobacco (IMTL),Stock Prices for Imperial Tobacco from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,16/12/2013,28/04/2014,,TRUE
INA,Inapa-inv P Gestao (INA),Stock Prices for Inapa-inv P Gestao from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INAP,Inapa-pref S/ Voto (INAP),Stock Prices for Inapa-pref S/ Voto from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,17/02/2014,11/12/2018,,TRUE
INCHL,Inchcape (INCHL),Stock Prices for Inchcape from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,29/08/2013,29/08/2013,,TRUE
INCO,Intel Corp (INCO),Stock Prices for Intel Corp from the Euronext Stock Exchange. Currency: USD. Market: Traded not listed Brussels,10/01/2019 17:15,14/02/2014,27/12/2018,,TRUE
INDM,Indesit Company (INDM),Stock Prices for Indesit Company from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:36,21/02/2012,21/02/2012,,TRUE
INEA,Fonciere Inea (INEA),Stock Prices for Fonciere Inea from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INF,Infotel (INF),Stock Prices for Infotel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INFE,Indle Fin Entrepr (INFE),Stock Prices for Indle Fin Entrepr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,29/01/2014,08/01/2019,,TRUE
INFL,Informa (INFL),Stock Prices for Informa from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:36,30/08/2013,30/08/2013,,TRUE
INFY,Infosys Ltd Ads (INFY),"Stock Prices for Infosys Ltd Ads from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris, London",05/07/2018 17:15,19/06/2013,28/06/2018,,TRUE
ING,Ingenico Group (ING),Stock Prices for Ingenico Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INGA,Ing Groep N V (INGA),"Stock Prices for Ing Groep N V from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INGAT,Ing Groep (INGAT),"Stock Prices for Ing Groep from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",21/07/2016 15:58,21/07/2016,21/07/2016,,TRUE
INGG5,Ingenico Feb5 (INGG5),Stock Prices for Ingenico Feb5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/01/2015 17:07,29/01/2014,29/01/2014,,TRUE
INGNV,Ingenico Nv (INGNV),Stock Prices for Ingenico Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,12/05/2015 16:00,19/02/2015,26/03/2015,,TRUE
INGS,Ing Groep Cert (INGS),Stock Prices for Ing Groep Cert from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels,31/05/2014 16:59,14/02/2014,30/05/2014,,TRUE
INN,Innelec Multimedia (INN),Stock Prices for Innelec Multimedia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INNDS,Innelecmultime Ds (INNDS),Stock Prices for Innelecmultime Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,13/03/2018 17:15,20/11/2017,13/03/2018,,FALSE
INPPL,Intl Publ Partner (INPPL),Stock Prices for Intl Publ Partner from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,02/08/2013,02/08/2013,,TRUE
INSD,Inside Secure (INSD),Stock Prices for Inside Secure from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INSDS,Inside Secure Ds (INSDS),Stock Prices for Inside Secure Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,15/04/2016 15:58,01/04/2016,15/04/2016,,TRUE
INT20,Intervest(sub)c20 (INT20),Stock Prices for Intervest(sub)c20 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,26/11/2018 17:15,15/11/2018,26/11/2018,,FALSE
INTER,Intertrust (INTER),Stock Prices for Intertrust from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,15/10/2015,10/01/2019,,TRUE
INTO,Intervest Off-ware (INTO),Stock Prices for Intervest Off-ware from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
INTUL,Intu Properties Pl (INTUL),Stock Prices for Intu Properties Pl from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,12/08/2013,12/08/2013,,TRUE
INVEBS,Investor B (INVEBS),Stock Prices for Investor B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:36,30/07/2013,30/07/2013,,TRUE
INVER,Inverko (INVER),Stock Prices for Inverko from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,25/05/2017 15:58,14/02/2014,25/05/2017,,TRUE
INVET,Inverko (INVET),Stock Prices for Inverko from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,17/11/2015 15:58,16/11/2015,16/11/2015,,TRUE
INVPL,Investec (INVPL),Stock Prices for Investec from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,30/08/2013,30/08/2013,,TRUE
IPFL,Intl Personal Fin (IPFL),Stock Prices for Intl Personal Fin from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,13/08/2013,13/08/2013,,TRUE
IPGM,Salini Impregilo S (IPGM),Stock Prices for Salini Impregilo S from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,02/04/2013,02/04/2013,,TRUE
IPH,Innate Pharma (IPH),Stock Prices for Innate Pharma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IPN,Ipsen (IPN),Stock Prices for Ipsen from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
IPNM5,Ipsen Jun5 (IPNM5),Stock Prices for Ipsen Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 16:00,29/05/2014,29/05/2014,,TRUE
